,date,coronavirus,short breath,covid-19,state,positive,positiveIncrease,negative,negativeIncrease
915,2020-10-25,4,0,14,OK,116736.0,1051,1417024.0,0
916,2020-11-01,3,15,13,OK,124111.0,1349,1494632.0,0
917,2020-11-08,5,24,25,OK,136258.0,4507,1571321.0,0
918,2020-03-08,79,42,40,KY,1.0,0,13.0,4
919,2020-03-15,100,40,88,KY,16.0,2,139.0,0
920,2020-03-22,78,80,100,KY,99.0,45,1472.0,758
921,2020-03-29,61,40,87,KY,394.0,92,5147.0,326
922,2020-04-05,60,79,71,KY,917.0,86,15746.0,1005
923,2020-04-12,45,55,50,KY,1840.0,147,22727.0,132
924,2020-04-19,37,37,40,KY,2707.0,185,29518.0,1444
925,2020-04-26,20,94,34,KY,3905.0,126,42653.0,1470
926,2020-05-03,17,76,39,KY,4879.0,0,52770.0,0
927,2020-05-10,15,79,37,KY,6440.0,152,80483.0,324
928,2020-05-17,12,60,27,KY,7688.0,244,121997.0,1707
929,2020-05-24,9,42,23,KY,8571.0,145,161285.0,-1748
930,2020-05-31,7,41,23,KY,9704.0,240,204049.0,5318
931,2020-06-07,8,42,27,KY,11287.0,0,237775.0,0
932,2020-06-14,8,86,31,KY,12445.0,0,282140.0,0
933,2020-06-21,10,0,32,KY,13750.0,120,303531.0,0
934,2020-06-28,9,89,36,KY,15232.0,373,343259.0,7364
935,2020-07-05,11,90,38,KY,16376.0,0,379271.0,0
936,2020-07-12,10,46,40,KY,19389.0,268,418781.0,0
937,2020-07-19,9,44,44,KY,23161.0,977,469563.0,1546
938,2020-07-26,9,44,38,KY,27079.0,315,514819.0,0
939,2020-08-02,7,0,96,KY,31185.0,462,565951.0,0
940,2020-08-09,6,0,31,KY,34982.0,404,613857.0,0
941,2020-08-16,5,0,27,KY,39315.0,385,673046.0,0
942,2020-08-23,4,0,21,KY,43529.0,1264,706202.0,0
943,2020-08-30,4,39,25,KY,48032.0,455,768082.0,0
944,2020-09-06,4,63,20,KY,52774.0,310,819355.0,0
945,2020-09-13,4,62,20,KY,56945.0,530,873807.0,0
946,2020-09-20,3,43,21,KY,61542.0,436,993670.0,0
947,2020-09-27,4,46,25,KY,66491.0,455,1216560.0,0
948,2020-10-04,4,94,19,KY,72617.0,616,1371855.0,0
949,2020-10-11,3,100,19,KY,80292.0,847,1467733.0,0
950,2020-10-18,4,50,20,KY,87607.0,810,1600733.0,0
951,2020-10-25,4,50,26,KY,96942.0,1462,1704451.0,0
952,2020-11-01,3,84,19,KY,108642.0,1423,1805591.0,0
953,2020-11-08,4,64,26,KY,120838.0,1177,1947149.0,0
954,2020-03-08,69,36,51,OR,14.0,7,100.0,23
955,2020-03-15,100,83,98,OR,36.0,6,420.0,83
956,2020-03-22,79,70,100,OR,161.0,47,2864.0,861
957,2020-03-29,59,78,93,OR,548.0,69,10878.0,1185
958,2020-04-05,57,34,78,OR,1068.0,69,19556.0,3021
959,2020-04-12,44,100,57,OR,1527.0,156,28231.0,2378
960,2020-04-19,34,54,45,OR,1910.0,66,37128.0,1389
961,2020-04-26,21,49,43,OR,2311.0,58,46653.0,1529
962,2020-05-03,19,67,42,OR,2680.0,45,59374.0,1873
963,2020-05-10,17,33,37,OR,3228.0,68,72279.0,819
964,2020-05-17,14,33,29,OR,3623.0,11,90733.0,2146
965,2020-05-24,12,35,30,OR,3927.0,39,108268.0,1949
966,2020-05-31,10,33,27,OR,4243.0,58,124958.0,2348
967,2020-06-07,11,33,39,OR,4808.0,146,143592.0,2095
968,2020-06-14,11,35,38,OR,5636.0,101,168246.0,3302
969,2020-06-21,12,72,42,OR,6937.0,187,195674.0,8329
970,2020-06-28,15,0,42,OR,8341.0,247,219529.0,0
971,2020-07-05,14,37,36,OR,10230.0,300,253971.0,8875
972,2020-07-12,14,37,41,OR,12170.0,319,284002.0,3670
973,2020-07-19,11,0,37,OR,14579.0,430,321011.0,4367
974,2020-07-26,9,37,31,OR,16758.0,266,361717.0,4199
975,2020-08-02,8,0,78,OR,19097.0,280,394560.0,3761
976,2020-08-09,7,37,27,OR,21272.0,262,425765.0,8708
977,2020-08-16,6,0,26,OR,23262.0,244,465535.0,3674
978,2020-08-23,5,37,23,OR,24937.0,227,494883.0,3129
979,2020-08-30,5,0,21,OR,26554.0,261,526791.0,4234
980,2020-09-06,4,0,14,OR,28044.0,188,557381.0,5130
981,2020-09-13,4,50,15,OR,29337.0,181,583283.0,2335
982,2020-09-20,4,0,18,OR,30801.0,202,605268.0,1957
983,2020-09-27,5,0,18,OR,32820.0,239,638670.0,2580
984,2020-10-04,5,58,19,OR,34770.0,259,670666.0,3274
985,2020-10-11,4,43,16,OR,37262.0,327,703971.0,4308
986,2020-10-18,5,43,14,OR,39532.0,216,745572.0,3245
987,2020-10-25,5,44,19,OR,42101.0,362,783149.0,3746
988,2020-11-01,4,0,15,OR,45429.0,508,822363.0,5335
989,2020-11-08,6,57,25,OR,50448.0,861,858853.0,5341
990,2020-03-08,67,23,37,LA,0.0,0,5.0,5
991,2020-03-15,100,47,91,LA,90.0,39,156.0,47
992,2020-03-22,71,71,97,LA,837.0,257,2661.0,481
993,2020-03-29,53,46,93,LA,3540.0,225,24331.0,2485
